nazwa;autorzy;tekst na certyfikat;ankieta przed;wymagania instalacyjne
podstawy-uczenia-maszynowego-w-jezyku-python;norbert-ryciak;ok;ok;ok
podstawy-uczenia-maszynowego-z-r;maciej-bartoszuk;brak;brak;brak
postgis-jako-platforma-do-przychowywania-przetwarzania-i-analizy-danych-przestrzennych;michal-srednicki;brak;brak;brak
praca-i-administracja-systemem-linux;piotr-nazimek;ok;brak;ok
praca-w-systemie-linux;piotr-nazimek;ok;brak;ok
praca-z-kodem-odziedziczonym-legacy-code;sebastian-malaca;brak;brak;brak
praca-z-kontenerami-w-chmurze-azure;kamil-mrzyglod;ok;ok;ok
praktyczne-aspekty-stosowania-kryptografii-w-systemach-komputerowych;piotr-nazimek;ok;brak;ok
praktyczne-wprowadzenie-do-kanbana;krzysztof-jelski;brak;brak;brak
praktyczne-wykorzystanie-blockchain-na-przykladzie-ethereum;piotr-nazimek;ok;brak;ok
praktyczne-wykorzystanie-technik-i-narzedzi-lean-it-do-rozwiazywania-problemow;martin-daliga;brak;brak;brak
praktyczne-zastosowanie-bibliotek-boost-oraz-nowych-standardow-c-plus-plus;tomasz-jasiukiewicz;brak;brak;brak
prezentacja-i-udostepnianie-danych-przestrzennych-za-pomoca-geoservera;michal-srednicki;brak;brak;brak
prince2-foundation;;brak;brak;brak
prince2-foundation-and-practitioner;;brak;brak;brak
prince2-practitioner;;brak;brak;brak
product-management-i-product-design;lukasz-losin;brak;brak;brak
programowanie-.net-kurs-podstawowy;marcin-samsonowski, szymon-kulec;brak;brak;brak
programowanie-.net-kurs-zaawansowany;rafal-kaszczuk;brak;brak;brak
programowanie-interfejsow-uzytkownika-w-qtquick-poziom-podstawowy;witold-wysota;brak;brak;ok
programowanie-kart-java-card;piotr-nazimek;ok;brak;ok
programowanie-pod-raspberry-pi-z-wykorzystaniem-windows-10-iot;pawel-kiezynski;brak;brak;ok
programowanie-reaktywne-w-jezyku-java-i-spring-webflux;marcin-chrost;ok;ok;ok
programowanie-sieciowe-w-jezyku-python;matt-harasymczuk;brak;ok;ok
programowanie-systemowe-w-linux;piotr-nazimek;brak;brak;brak
programowanie-systemowe-w-windows;piotr-nazimek;brak;brak;brak
programowanie-w-jezyku-c;piotr-nazimek;brak;brak;ok
programowanie-w-jezyku-c-plus-plus;piotr-nazimek, witold-wysota;brak;brak;ok
programowanie-w-jezyku-cpp-dla-platform-arm-seria-a;tomasz-jasiukiewicz;brak;brak;brak
programowanie-w-jezyku-cpp-dla-platform-arm-seria-cortex;tomasz-jasiukiewicz;brak;brak;brak
programowanie-w-jezyku-groovy;kamil-szymanski;brak;brak;brak
programowanie-w-jezyku-java;michal-podbielski;ok;ok;ok
programowanie-w-jezyku-kotlin;lukasz-andrzejewski;brak;brak;brak
programowanie-w-jezyku-scala;marcin-gosk, arkadiusz-bazylewicz;brak;brak;ok
programowanie-w-jezyku-swift;lukasz-andrzejewski;brak;brak;brak
programowanie-w-qt-poziom-podstawowy;witold-wysota;brak;brak;brak
programowanie-w-qt-poziom-zaawansowany;witold-wysota;brak;brak;brak
programowanie-wspolbiezne-w-jezyku-c-plus-plus;witold-wysota;brak;brak;brak
project-portfolio-management-budowa-i-zarzadzanie-portfelem-projektow;jacek-bigaj;brak;brak;brak
projektowanie-big-data-dla-java;lukasz-wozniak, rafal-rozpondek;ok;ok;brak
projektowanie-hurtowni-danych-z-wykorzystaniem-pakietu-pentaho-business-intelligence;lukasz-dunal;brak;brak;brak
projektowanie-i-programowanie-obiektowe-w-jezyku-php;jakub-lukasik;brak;brak;brak
projektowanie-innowacyjnych-produktow-i-uslug-it;lukasz-losin;brak;brak;brak
projektowanie-wysoko-dostepnych-oraz-skalowalnych-architektur-w-microsoft-azure;kamil-mrzyglod;brak;brak;ok
projektowanie-zlozonych-modeli-domen-z-wykorzystaniem-domain-driven-design;patrycja-wegrzynowicz;brak;brak;brak
projektowanie-zorientowane-na-uzytkownika;karolina-zmitrowicz;brak;brak;brak
protokol-ssl-i-tls;piotr-nazimek;ok;brak;ok
prototypowanie-aplikacji-mobilnych;lukasz-losin;brak;brak;brak
prototypowanie-aplikacji-w-axure-marvel-adobe-xd-pingendo-100-procent-cwiczen-od-podstaw-do-zaawansowanych-projektow;lukasz-losin;brak;brak;ok
prototypowanie-gier;mateusz-kietlinski;brak;brak;ok
przeglad-technologii-cloud;kamil-mrzyglod;brak;brak;brak
przetwarzanie-strumieni-danych-w-big-data;krzysztof-jankiewicz;ok;brak;brak
przygotowanie-do-egzaminu-spring-professional;lukasz-andrzejewski;ok;brak;ok
przygotowanie-do-egzaminu-unity-certified-developer;mateusz-kietlinski;brak;brak;ok
przygotowanie-do-pmp;marek-hojnacki;brak;brak;brak
przygotowanie-do-uzyskania-certyfikatu-oca;pawel-kierat, piotr-krogulec;ok;ok;ok
przygotowanie-do-uzyskania-certyfikatu-ocp;pawel-kierat, piotr-krogulec;ok;ok;ok
przygotowanie-do-zdobycia-certyfikatu-iqbba-poziom-podstawowy;karolina-zmitrowicz;brak;brak;brak
przypadki-uzycia-w-zarzadzaniu-wymaganiami;karolina-zmitrowicz;brak;brak;brak
pwa-progresywne-aplikacje-webowe;mateusz-kulesza;ok;brak;ok
python-devops-cicd;matt-harasymczuk;brak;ok;ok
python-django;matt-harasymczuk;ok;ok;ok
python-fastapi;matt-harasymczuk;ok;ok;ok
python-gui;matt-harasymczuk;brak;ok;ok
python-http-rest-microservice;matt-harasymczuk;brak;ok;ok
python-od-podstaw;matt-harasymczuk;ok;ok;ok
python-srednio-zaawansowany;matt-harasymczuk;ok;ok;ok
python-wprowadzenie-do-skladni-jezyka-i-srodowiska-dla-data-scientists;matt-harasymczuk;ok;ok;brak
qgis-zaawansowane-metody-wizualizacji-danych-przestrzennych;rafal-smyk, barbara-wawrzyniak, tomasz-gorka, marcin-lis, monika-wojdynska, magdalena-piechocka;brak;brak;brak
quarkus-framework;lukasz-andrzejewski;brak;brak;ok
